trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,take_profit_pct,stop_loss_pct,rsi_range,ema_filter,atr_filter,volume_filter,breakout_filter
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:15.862777,SOLUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:21.997417,SOLUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:28.200386,SOLUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:34.348218,SOLUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:40.826322,SOLUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:46.918059,SOLUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:53.043507,SOLUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:59.140852,SOLUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:05.544880,SOLUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:11.694053,SOLUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
