trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T14:55:27.049600,ETHUSDT,60,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T14:58:35.332639,ETHUSDT,65,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T14:59:38.574450,ETHUSDT,65,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T15:02:35.989775,ETHUSDT,70,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T15:03:25.267390,ETHUSDT,70,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:27:57.448409,BNBUSDT,60,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:31:01.294616,BNBUSDT,65,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:34:03.501144,BNBUSDT,70,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:25:47.992932,BNBUSDT,60,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:26:54.737212,BNBUSDT,60,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:29:30.505139,BNBUSDT,65,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:30:15.767455,BNBUSDT,65,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:32:30.717996,BNBUSDT,70,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:33:17.503085,BNBUSDT,70,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:54:33.232653,ETHUSDT,60,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:55:32.634029,ETHUSDT,60,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:58:40.263288,ETHUSDT,65,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:59:43.293668,ETHUSDT,65,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T15:02:40.252206,ETHUSDT,70,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T15:03:29.484719,ETHUSDT,70,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T14:54:19.693565,ETHUSDT,60,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T14:55:17.730734,ETHUSDT,60,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T14:58:25.893423,ETHUSDT,65,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T14:59:29.352893,ETHUSDT,65,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T15:02:27.840605,ETHUSDT,70,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,32,44,42.11,3576.78,-2582.44,994.34,1.385,1.3850413746862704,-658.8,13.08,2026-07-09T15:03:17.413844,ETHUSDT,70,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T14:56:14.786165,ETHUSDT,60,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T15:00:26.724151,ETHUSDT,65,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T15:04:01.232707,ETHUSDT,70,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T14:56:25.587093,ETHUSDT,60,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T15:00:38.004847,ETHUSDT,65,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T15:04:09.258390,ETHUSDT,70,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T14:56:30.919437,ETHUSDT,60,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T15:00:42.888976,ETHUSDT,65,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T15:04:13.032504,ETHUSDT,70,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:27:37.893524,BNBUSDT,60,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:30:46.126970,BNBUSDT,65,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:33:47.399273,BNBUSDT,70,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T14:56:37.738719,ETHUSDT,60,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T15:00:48.787105,ETHUSDT,65,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T15:04:17.343067,ETHUSDT,70,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:25:42.600769,BNBUSDT,60,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:26:48.618274,BNBUSDT,60,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:29:26.433275,BNBUSDT,65,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:30:11.771206,BNBUSDT,65,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:32:26.730024,BNBUSDT,70,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
74,30,44,40.54,3213.36,-2550.11,663.25,1.2601,1.2600866660925736,-720.75,8.96,2026-07-09T15:33:12.364344,BNBUSDT,70,"(35, 60)",sma20,1.2,True,fixed,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:26:24.528521,BNBUSDT,60,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:27:29.577938,BNBUSDT,60,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:29:53.057618,BNBUSDT,65,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:30:38.536470,BNBUSDT,65,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:32:53.443246,BNBUSDT,70,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:33:39.883376,BNBUSDT,70,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:25:33.335414,BNBUSDT,60,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:26:39.551152,BNBUSDT,60,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:29:18.654646,BNBUSDT,65,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:30:04.209172,BNBUSDT,65,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:32:19.186827,BNBUSDT,70,"(30, 60)",sma20,1.15,True,fixed,0.04,-0.02
76,31,45,40.79,3302.02,-2627.18,674.83,1.2569,1.2568658294408264,-616.6,8.88,2026-07-09T15:33:04.479100,BNBUSDT,70,"(35, 60)",sma20,1.15,True,fixed,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T14:57:12.355350,ETHUSDT,60,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T15:01:25.213989,ETHUSDT,65,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T15:04:41.835396,ETHUSDT,70,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
91,36,55,39.56,3850.47,-3092.38,758.09,1.2451,1.2451473032000298,-898.1,8.33,2026-07-09T15:27:41.901640,BNBUSDT,60,"(35, 65)",sma20,1.15,True,fixed,0.04,-0.02
