trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:33:47.399273,BNBUSDT,70,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T14:56:37.738719,ETHUSDT,60,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T15:00:48.787105,ETHUSDT,65,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
150,107,43,71.33,3232.61,-2459.91,772.7,1.3141,1.3141180227782492,-401.85,5.15,2026-07-09T15:04:17.343067,ETHUSDT,70,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:26:24.528521,BNBUSDT,60,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:27:29.577938,BNBUSDT,60,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:29:53.057618,BNBUSDT,65,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:30:38.536470,BNBUSDT,65,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:32:53.443246,BNBUSDT,70,"(30, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
137,104,33,75.91,2344.7,-1861.4,483.3,1.2596,1.2596454860408235,-526.03,3.53,2026-07-09T15:33:39.883376,BNBUSDT,70,"(35, 60)",percentile40,1.2,True,ema20_exit,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T14:57:12.355350,ETHUSDT,60,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T15:01:25.213989,ETHUSDT,65,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
148,104,44,70.27,3148.03,-2517.43,630.6,1.2505,1.2504944325787335,-444.9,4.26,2026-07-09T15:04:41.835396,ETHUSDT,70,"(35, 65)",percentile40,1.2,True,ema20_exit,0.04,-0.02
