symbol,open_time,balance,equity,drawdown
SOLUSDT,2025-09-16T10:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T10:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T10:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T10:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T11:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T11:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T11:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T11:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T12:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T12:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T12:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T12:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T13:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T13:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T13:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T13:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T14:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T14:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T14:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T14:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T15:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T15:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T15:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T15:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T16:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T16:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T16:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T16:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T17:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T17:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
